Unnamed: 0,Hospital,Location,Cordinates,Latitude,Longitude,Care system,Type,Beds,address,phone,rating,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,website,services,payment,cleaned services
10,Hoima Regional Referral Hospital,"Hoima, Hoima District, Western Region, Uganda",01°25′40″N 31°21′16″E / 1.42778°N 31.35444°E,1.427778,31.35444,Public,General and teaching,317 (2020)[1],"C9H3+7P5, Main Stree, Hoima, Uganda",,4.1,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.health.go.ug/sermon/hoima-regional-referral-hospital/,"Hoima Hospital is a public hospital, funded by the Uganda Ministry of Health, and general care in the hospital is free. It is one of the thirteen Regional Referral Hospitals in Uganda.[5] The hospital is one of the fifteen internship hospitals in Uganda where graduates of Ugandan medical schools can serve one year of internship under the supervision of qualified specialists and consultants.",No payment,general care
11,Jinja Regional Referral Hospital,"Jinja, Jinja District, Uganda",00°25′52″N 33°12′18″E / 0.43111°N 33.20500°E,0.431111,33.205,Public,General and Teaching,600,"C6J4+24X, Rotary Rd, Jinja, Uganda",043 4256431,3.9,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.health.go.ug/sermon/jinja-regional-referral-hospital/,"Jinja Hospital is one of the thirteen (13) Regional Referral Hospitals in Uganda. It is also one of the fifteen (15) hospitals designated as Internship Hospitals, where graduates of Ugandan medical schools may undergo a year of internship under the supervision of consultants and specialists in the designated medical and surgical disciplines. ",,referral services
12,Kabale Regional Referral Hospital,"Kabale, Kabale District, Western Region, Uganda",01°15′04″S 29°59′21″E / 1.25111°S 29.98917°E,-1.25111,29.98917,Public,General and Teaching,280[1],"PXXQ+JPG, Kabale, Uganda",,3.9,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.health.go.ug/sermon/kabale-regional-referral-hospital/,"Kabale Hospital is a public hospital, funded by the Uganda Ministry of Health and general care in the hospital is free. It is one of the thirteen regional referral hospitals in Uganda.[8] The hospital is designated as one of the fifteen internship hospitals in Uganda where graduates of Ugandan medical schools can serve of internship under the supervision of qualified specialists and consultants",No payment,general care
13,Kayunga Hospital,"Kayunga, Kayunga District, Buganda Region, Uganda",00°42′12″N 32°54′14″E / 0.70333°N 32.90389°E,0.703333,32.90389,Public,General,100,"P.O Box 18069, Kayunga, Uganda",041 4290995,4.2,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://en.wikipedia.org/wiki/Kayunga_Hospital,"Kayunga Hospital opened in 1973 during the reign of Idi Amin. It offers services to residents from Kayunga district and neighboring districts including Kamuli, Buikwe, Mukono, Luweero and Nakasongola.According to a 2009 published report, Kayunga Hospital had a dilapidated and crumbling infrastructure, aging equipment and machinery, under-staffing, poor staff remuneration, overwhelming patient numbers, and under-funding.",,general care
14,Lira Regional Referral Hospital,"Lira, Lira District, Lango sub-region, Uganda",02°15′06″N 32°54′05″E / 2.25167°N 32.90139°E,2.251667,32.90139,Public,General and teaching,254,"7W33+QV, Plot 9/19, 21-41 Ngetta Road Police Rd, Lira P.O.BOX 2, LIRA, Uganda",0473 420139,3.9,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.health.go.ug/sermon/lira-regional-referral-hospital/,"Lira Hospital is a public hospital, funded by the Uganda Ministry of Health, and general care in the hospital is free. It is one of the regional referral hospitals in Uganda.[1] The hospital is designated as one of the internship hospitals in Uganda, where graduates of Ugandan medical schools can serve one year of internship under the supervision of qualified specialists and consultants.",No payment,general care
15,Masaka Regional Referral Hospital,"Masaka, Masaka District, Uganda",00°19′46″S 31°44′04″E / 0.32944°S 31.73444°E,-0.32944,31.73444,Public,General and Teaching,730,,,4.1,,,,,,,,https://www.health.go.ug/sermon/masaka-regional-referral-hospital/,"Masaka Hospital is a public hospital, funded by the Uganda Ministry of Health and general care in the hospital is free. It is one of the 13 Regional Referral Hospitals in Uganda.[4] The hospital is designated as one of the 15 Internship Hospitals in Uganda where graduates of Ugandan medical schools can serve one year of internship under the supervision of qualified specialists and consultants.",No payment,general care
16,Mbale Regional Referral Hospital,"Mbale, Mbale District, Eastern Region, Uganda",01°04′36″N 34°10′35″E / 1.07667°N 34.17639°E,1.076667,34.17639,Public,General and Teaching,400,,,3,,,,,,,,https://mbalehospital.go.ug/,"Opd & Community Health, Community Health, General Clinical, Specialized Clinics, Medical Social Work, Palliative Care, Research, Pharmacy. Department Of Surgery, General Surgery, Orthopedics, Ophthalmology, Ear, Nose, Throat, Urology, Dental, Physiotherapy, Theatre, Anaesthesia, Intensive Care Unit (Icu), Department Of Internal Medicine, General Medicine, Tuberculosis, Dermatology, Psychiatry, Occupational Therapy, Private Patient Services, Outpatient Services, Inpatient Services, Diagnostic Services, Department Of Diagnostics, Laboratories, Radiology, Ultra Sound, X-Ray, Pathology",,"OPD, Community Health, General Clinical, Specialized Clinics, Palliative Care, Research, Pharmacy,Surgery, Orthopedics, Ophthalmology, Ear, Nose, Throat, Urology, Dental, Physiotherapy, Theatre, Anaesthesia, ICU,General Medicine, Tuberculosis, Dermatology, Psychiatry, Therapy, Private Patient Services, Outpatient Services, Inpatient Services, Diagnostic Services, Department of Diagnostics, Laboratories, Radiology, Ultrasound, X-Ray, Pathology."
17,Mbarara Regional Referral Hospital,"Mbarara, Mbarara District Western Region, Uganda",00°36′59″S 30°39′32″E / 0.61639°S 30.65889°E,-0.61639,30.65889,Public,General and Teaching,600+,"Mbarara, Uganda",,4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,,"Mbarara Hospital is a public hospital, founded by the Uganda Ministry of Health, and general care in the hospital is free. It is affiliated with the medical school of the Mbarara University of Science and Technology, one of the four medical schools in Uganda. The hospital is staffed by medical students and residents. The hospital also acts as a teaching hospital for Nursing students from Bishop Stuart University. Mbarara Hospital is one of the 15 internship Hospitals in Uganda where graduates of Ugandan medical schools can serve one year of internship under the supervision of qualified specialists and consultants.",No payment,general care
18,Moroto Regional Referral Hospital,"Moroto, Moroto District, Uganda",02°31′53″N 34°39′25″E / 2.53139°N 34.65694°E,2.531389,34.65694,Public,General and Teaching,114,"Moroto Town Council, Moroto, Uganda",0772 540956,3.9,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://morotohospital.go.ug/moroto-rrh,Moroto Hospital is a public hospital funded by the Uganda Ministry of Health. General care in the hospital is free. It is one of the thirteen regional referral hospitals in Uganda.[7] The hospital is one of the fifteen internship hospitals where graduates of Ugandan medical schools can serve one year of internship under the supervision of qualified specialists and consultants.,No payment,general care
19,Mubende Regional Referral Hospital,"Mubende, Mubende District, Central Region, Uganda",00°34′03″N 31°23′35″E / 0.56750°N 31.39306°E,0.5675,31.39306,Public,"General, Teaching",175[1],,,3.8,,,,,,,,,"Mubende Hospital is a public hospital, funded by the Uganda Ministry of Health and general care in the hospital is free. It is one of the thirteen Regional Referral Hospitals in Uganda. The hospital is designated as one of the fifteen Internship Hospitals in Uganda where graduates of Ugandan medical schools can serve one year of internship under the supervision of qualified specialists and consultants.",No payment,general care
20,Soroti Regional Referral Hospital,"Soroti, Soroti District, Eastern Region, Uganda",01°42′58″N 33°36′47″E / 1.71611°N 33.61306°E,1.716111,33.61306,Public,"General, Teaching",274,"Soroti, Uganda",0755 970052,3.7,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"Soroti Hospital is a public hospital, funded by the Uganda Ministry of Health and general care in the hospital is free. It is one of the 13 Regional Referral Hospitals in Uganda.[6] The hospital is designated as one of the 15 Internship Hospitals in Uganda where graduates of Ugandan medical schools can serve one year of internship under the supervision of qualified specialists and consultants. ",No payment, general care
21,Abim General Hospital,"Abim, Abim District, Northern Region, Uganda",02°41′56″N 33°39′28″E / 2.69889°N 33.65778°E,2.698889,33.65778,Public,General,100,"MMX5+H3H, Abim, Uganda",,3.7,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://ayoma.co.ug/listing/abim-general-hospital/,"Abim General Hospital remains a crucial healthcare provider for the community, offering medical services and support to those in need. The hospital staff is dedicated to providing quality care to patients, and with the upcoming improvements, the hospital is poised to offer even better services to its community.",,Medical services and support.
22,Adjumani General Hospital,"Adjumani, Adjumani District, Uganda",03°22′27″N 31°47′33″E / 3.37417°N 31.79250°E,3.374167,31.7925,Public,General,100,"9QFV+M2X, Adjumani, Uganda",0800 100066,3,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,,,
23,Anaka General Hospital,"Anaka, Nwoya District, Northern Region, Uganda",02°35′59″N 31°56′51″E / 2.59972°N 31.94750°E,2.599722,31.9475,Public,General,120,,,,,,,,,,,,"expanded outpatients’ department, a mortuary, an enlarged private wing for paying patients, renovated staff housing, a rehabilitated water source, and sewerage disposal system. Additionally, an emergency room (casualty department), a psychiatric department, and an intensive care unit were constructed.With these renovations, Anaka General Hospital is now equipped to provide its patients with quality healthcare services. The hospital’s commitment to serving its community, despite the challenges it has faced, is a testament to the resilience and dedication of its staff. Anaka General Hospital is an essential part of Uganda’s healthcare system and a vital resource for the people of Nwoya District.",,"outpatient,psychiatric, ICU, emergency care."
24,Apac General Hospital,"Apac, Apac District, Uganda",01°58′42″N 32°32′01″E / 1.97833°N 32.53361°E,1.978333,32.53361,Public Hospital,General,100,"XGHM+C9R, Apac, Uganda",,3.2,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.apac.go.ug/apac-general-hospital,"Apac General Hospital was established in 1968, with a capacity of 100 beds. It serves Apac District, and parts of the neighboring districts of Kiryandongo, Kole and Oyam. The hospital infrastructure is aged and crumbling.[4] The hospital also faces a severe shortage of staff, being able to retain only three doctors out of the planned eight physician positions",, healthcare
25,Atutur General Hospital,"Atutur, Kumi District, Eastern Region, Uganda",01°24′34″N 33°59′27″E / 1.40944°N 33.99083°E,1.409444,33.99083,Public,General,100,,,2.3,,,,,,,,,"Atutur General Hospital was built in 1969 to serve the districts of Kumi, Bukedea, Ngora and Pallisa. The hospital infrastructure has deteriorated and the hospital equipment has become obsolete. The hospital is severely understaffed and underfunded.",,
26,Bududa General Hospital,"Bududa, Bududa District, Eastern Region, Uganda",01°00′34″N 34°19′58″E / 1.00944°N 34.33278°E,1.009444,34.33278,Public,General,100[1],,,,,,,,,,,,"The hospital has not received any renovations since it was constructed. Like many of Uganda's public hospitals, Bududa General Hospital is understaffed, over-crowded, underfunded and operated with antiquated or absent equipment.",insurance,
27,Bugiri General Hospital,"Bugiri, Bugiri District, Eastern Region, Uganda",00°34′25″N 33°44′33″E / 0.57361°N 33.74250°E,0.573611,33.7425,Public,General,100,"Bugiri, Uganda",043 4251557,3,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,, It offers in-and-outpatient services as well as specialist clinics.,insurance," inpatient and outpatient care, along with specialist clinics"
28,Bukwo General Hospital,"Bukwo, Bukwo District, Eastern Region, Uganda",01°17′39″N 34°45′19″E / 1.29417°N 34.75528°E,1.294167,34.75528,Public,General,100,,,3.4,,,,,,,,,"Bukwo General Hospital is a public hospital, funded by the Uganda Ministry of Health. General care in the hospital is free. It was built in the 2000s, with laying of the foundation stone in June 2010.[3] The hospital is plagued by a lack of electricity[4] and understaffing.",insurance,
29,Bundibugyo General Hospital,"Bundibugyo, Bundibugyo District, Western Region, Uganda",00°42′11″N 30°03′49″E / 0.70306°N 30.06361°E,0.703056,30.06361,Public,General,160,,,4.3,,,,,,,,,"Bundibugyo Hospital is a public hospital, funded by the Uganda Ministry of Health. General care in the hospital is free. The facility was founded in 1969 by the government of Prime minister Milton Obote. The hospital infrastructure and equipment has been neglected and is in very poor condition",insurance,general care
30,Busolwe General Hospital,"Busolwe, Butaleja District, Uganda",00°50′58″N 33°55′45″E / 0.84944°N 33.92917°E,0.849444,33.92917,Public,General,100,,,4,,,,,,,,,"Busolwe General Hospital, located in the heart of Busolwe Town, Butaleja District, is a public hospital owned by the Ugandan Government and administered by Butaleja District Local Government. Established in 1970, the hospital has been serving the community for over five decades, providing healthcare services to residents of Busolwe and its environs.The hospital has a strategic location in the town’s central business district, making it easily accessible to those in need of medical attention. Although the hospital’s infrastructure has not received any refurbishment or re-equipping since it was commissioned, there is a glimmer of hope for the future.",insurance,health care
31,Iganga General Hospital,"Iganga, Iganga District, Uganda",00°36′57″N 33°29′04″E / 0.61583°N 33.48444°E,0.615833,33.48444,Public,General,100,"JF8P+F2V, Main St, Iganga, Uganda",0757 947583,4.2,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,6:00PM - 12:00AM,Open 24 hours,Open 24 hours,,"Iganga General Hospital is a 100-bed, government-owned hospital. It serves Iganga District and parts of the districts of Luuka, Mayuge, Bugiri, Namutumba and Kaliro.[6] It was built in 1968.[3] Over the years, the underfunded, understaffed hospital's infrastructure has deteriorated and the hospital equipment has aged and become antiquated. The overworked staff are underpaid and of low morale.",insurance,health care
32,Itojo Hospital,"Itojo, Ntungamo District, Western Region, Uganda",00°47′16″S 30°16′38″E / 0.78778°S 30.27722°E,-0.78778,30.27722,Public,General,120,,,,,,,,,,,https://western-uganda.net/itojo_hospital.html,"Itojo Hospital today is somewhat run down despite attempts to improve its condition, notably the Egyptian government who have not only donated cash for renovations but have also provided specialist medical officers. The hospital, with a catchment area covering large swathes of Ntungamo district, is constantly under stress seeing more than 500 inpatients and 300 outpatients daily despite being built with just a 100-bed capacity. To run as planned, Itojo Hospital requires 198 staff but there are only around 140 employed, mostly support staff, and just four doctors out of the needed fifteen. With such bed and staffing shortfalls, many seeking medical attention are forced to wait or sleep on the floors of the crowded wards waiting for care from the overstretched medical staff meaning that patients frequently die before even being seen by a doctor. The hospital is the only facility where surgery can be performed in the area and it is also the centre to which the 47 health units in the district refer when treatment is beyond their means. More complicated cases are referred to Mbarara Regional Referral Hospital, located 36 miles away. Itojo faces other challenges such as an X-Ray machine that hasn't worked for years and an accumulated unpaid electricity bill of some 42,000UK (although that's still just 10% of the money embezzled from the hospital in 2012 by its then medical superintendent from funds meant to support cervical cancer surgeries in Ntungamo district.",insurance,"inpatient ,outpatient, surgery"
33,Kaabong General Hospital,"Kaabong, Kaabong District, Karamoja sub-region, Uganda",03°30′39″N 34°07′53″E / 3.51083°N 34.13139°E,3.510833,34.13139,Public,General,100,,,,,,,,,,,,"The hospital is an important healthcare provider in the region, offering a range of services to patients. With a team of highly skilled medical professionals, the hospital has made significant contributions to the healthcare sector in Uganda. Their services are available to all, regardless of their economic background. Kaabong General Hospital is also earmarked for renovation and expansion, indicating the government’s commitment to improving healthcare delivery in the region. The hospital’s strategic location and planned expansion will allow it to offer more comprehensive healthcare services to the residents of the surrounding areas. The hospital’s commitment to providing quality healthcare services is reflected in its state-of-the-art facilities and equipment. The hospital has modern medical equipment and facilities, making it a preferred destination for patients in need of specialized medical attention. Overall, Kaabong General Hospital is an important healthcare provider in the region, offering a range of services to patients. Its strategic location, commitment to quality healthcare services, and planned expansion make it a vital asset to the healthcare sector in Uganda.",insurance,general care
34,Kagadi General Hospital,"Kagadi, Kagadi District, Western Region, Uganda",00°56′30″N 30°48′32″E / 0.94167°N 30.80889°E,0.941667,30.80889,Public,General,100,,,4.4,,,,,,,,https://kagadi.go.ug/kagadi-general-hospital/,"General Outpatient Services, General inpatient services, HIV Counseling and Testing, General antenatal services, Ophalmology services, Tuberculosis treatment services, Neonatal intensive care services,Maternal child health care services, Orthopaedic and physiotherapy services, Cervical cancer screening, testing and treatment, Nutrition services, Imaging serving, Laboratory services, General surgery",insurance,"Outpatient,  Inpatient, HIV, Antenatal , Ophthalmology, Tuberculosis, Neonatal, ICU, Maternal Child Health , Orthopedic and Physiotherapy Services, Cervical Cancer Screening, Testing, and Treatment, Nutrition Services, Imaging Services, Laboratory Services, General Surgery."
35,Kalisizo General Hospital,"Kalisizo, Rakai District, Central Region, Uganda",00°32′08″S 31°37′22″E / 0.53556°S 31.62278°E,-0.53556,31.62278,Public,General,120[1],"FJ7F+Q33, Masaka - Kakuto Rd, Kalisizo, Uganda",,3.4,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"Kalisizo General Hospital is government regional referral hospital with a bed capacity of 120.[1] The hospital treats many cases of malaria, particularly among children.[5] As with most government hospitals in the country,[6] Kalisizo hospital has challenges related to lack of appropriate medical equipment,[7] lack of blood,[8] and lack of appropriate medicines.",insurance,malaria
36,Kamuli General Hospital,"Kamuli, Kamuli District, Busoga sub-region, Uganda",00°56′50″N 33°07′16″E / 0.94722°N 33.12111°E,0.947222,33.12111,Public,General,100,"W4WC+WF7, Kamuli, Uganda",0751 355416,4.1,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"The hospital is owned by the Ugandan Government and administered by the Uganda Ministry of Health. Despite facing numerous challenges, Kamuli General Hospital continues to provide essential healthcare services to the community.The hospital has a planned bed capacity of 100, but due to the high demand for services, many more patients are admitted, with some sharing beds or sleeping on the floor. The hospital provides a wide range of services, including outpatient and inpatient care, maternity services, surgery, and laboratory services. Patients can also receive HIV testing and counseling, as well as family planning services.Kamuli General Hospital faces numerous challenges, including corruption, inadequate staffing, poor remuneration, insufficient medication, and outdated medical equipment. However, despite these challenges, the hospital staff remains committed to providing quality healthcare services to the community.The hospital staff includes skilled doctors, nurses, and support staff who work tirelessly to ensure that patients receive the care they need. The hospital’s maternity ward provides a safe and supportive environment for mothers and babies, while the surgery department offers life-saving procedures to patients in need.",insurance,"outpatient and inpatient care, maternity services, surgery, laboratory services, HIV testing and counseling, and family planning services. "
37,Kapchorwa General Hospital,"Kapchorwa, Kapchorwa District, Eastern Region, Uganda",01°23′55″N 34°26′50″E / 1.39861°N 34.44722°E,1.398611,34.44722,Public,General,150,"P.O Box 2, Kapchorwa, Uganda",045 4451016,3.7,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,"Despite being congested and understaffed, the hospital has been able to provide quality healthcare services to its patients. In 2015, the Government of Uganda began partial rehabilitation of the hospital, starting with the renovation of the operating theatre, procurement of new equipment, and reconstruction of the TB and maternity wards. The hospital also had solar panels installed, providing reliable and sustainable energy for the hospital’s operations.In recent years, the hospital’s catchment population has increased significantly, with an estimated 900,000 people from Kapchorwa District and its neighboring districts, as well as patients from the Kenyan counties of Trans-Nzoia and West Pokot, receiving healthcare services from Kapchorwa General Hospital. However, the hospital faced a setback in September 2020 when over 50 staff members tested positive for COVID-19, resulting in the hospital’s temporary closure for two weeks. The hospital was reopened in early October 2020 after mitigation measures were put in place.",insurance,
38,Kasese Municipal Health Centre III,,,,,,,,,,3.7,,,,,,,,,"Kasese Municipal Health Centre III boasts of state-of-the-art medical equipment, skilled medical personnel, and a conducive environment for quick recovery.The hospital has been able to handle several emergencies, including the evacuation of more than 87 patients from Kilembe Mines Hospital due to flooding caused by River Nyamwamba bursting its banks. Kasese Municipal Health Centre III has been instrumental in providing medical attention to these patients and ensuring their speedy recovery.The hospital is well-equipped to handle all types of medical conditions, including surgical procedures. The medical staff is highly trained and experienced, ensuring that patients receive the best possible care. The hospital also has a pharmacy that stocks a wide range of drugs, making it convenient for patients to get their medication without having to travel long distances.",insurance,"emergency care, surgery, pharmacy "
