Hospital Id,Hospital Name,rating,Care system,Services,Operating Time,Location,Payment,Cordinates,Type,Beds,phone,website
11,Hoima Regional Referral Hospital,4.1,Public,"General Care,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Western,Hoima,","No payment,",01°25′40″N 31°21′16″E / 1.42778°N 31.35444°E,General and teaching,317 (2020)[1],,https://www.health.go.ug/sermon/hoima-regional-referral-hospital/
12,Jinja Regional Referral Hospital,3.9,Public,"referral,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Jinja,","unknown,",00°25′52″N 33°12′18″E / 0.43111°N 33.20500°E,General and Teaching,600,043 4256431,https://www.health.go.ug/sermon/jinja-regional-referral-hospital/
13,Kabale Regional Referral Hospital,3.9,Public,"General Care,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Kabale,","No payment,",01°15′04″S 29°59′21″E / 1.25111°S 29.98917°E,General and Teaching,280[1],,https://www.health.go.ug/sermon/kabale-regional-referral-hospital/
14,Kayunga Hospital,4.2,Public,"General Care,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Kayunga,Buganda,","unknown,",00°42′12″N 32°54′14″E / 0.70333°N 32.90389°E,General,100,041 4290995,https://en.wikipedia.org/wiki/Kayunga_Hospital
15,Lira Regional Referral Hospital,3.9,Public,"General Care,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Lango sub-region,Lira,","No payment,",02°15′06″N 32°54′05″E / 2.25167°N 32.90139°E,General and teaching,254,0473 420139,https://www.health.go.ug/sermon/lira-regional-referral-hospital/
16,Masaka Regional Referral Hospital,4.1,Public,"General Care,","UNKNOWN,","Masaka,","No payment,",00°19′46″S 31°44′04″E / 0.32944°S 31.73444°E,General and Teaching,730,,https://www.health.go.ug/sermon/masaka-regional-referral-hospital/
17,Mbale Regional Referral Hospital,3.0,Public,"Health,Surgery,Orthopedics, Ophthalmology,Throat,Ear,Nose,Dentistry,Physiotherapy,ICU,General Care,Tuberclosis,Dermatology,Psychiatry,Therapy,X-ray,Radiology,Inpatient,Outpatient,","UNKNOWN,","Eastern,Mbale,","unknown,",01°04′36″N 34°10′35″E / 1.07667°N 34.17639°E,General and Teaching,400,,https://mbalehospital.go.ug/
18,Mbarara Regional Referral Hospital,4.0,Public,"General Care,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Closed,","Western,Mbarara,","unknown,",00°36′59″S 30°39′32″E / 0.61639°S 30.65889°E,General and Teaching,600+,,
19,Moroto Regional Referral Hospital,3.9,Public,"General Care,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Moroto,","No payment,",02°31′53″N 34°39′25″E / 2.53139°N 34.65694°E,General and Teaching,114,0772 540956,https://morotohospital.go.ug/moroto-rrh
20,Mubende Regional Referral Hospital,3.8,Public,"General Care,","UNKNOWN,","Central,Mubende,","No payment,",00°34′03″N 31°23′35″E / 0.56750°N 31.39306°E,"General, Teaching",175[1],,
21,Soroti Regional Referral Hospital,3.7,Public,"General Care,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Eastern,Soroti,","No payment,",01°42′58″N 33°36′47″E / 1.71611°N 33.61306°E,"General, Teaching",274,0755 970052,
22,Abim General Hospital,3.7,Public,"General Care,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Abim,Northern,","unknown,",02°41′56″N 33°39′28″E / 2.69889°N 33.65778°E,General,100,,https://ayoma.co.ug/listing/abim-general-hospital/
23,Adjumani General Hospital,3.0,Public,"General Care,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Adjumani,","unknown,",03°22′27″N 31°47′33″E / 3.37417°N 31.79250°E,General,100,0800 100066,
24,Anaka General Hospital,,Public,"Outpatient,Psychiatry,ICU,","UNKNOWN,","Northern,Nwoya,Anaka,","unknown,",02°35′59″N 31°56′51″E / 2.59972°N 31.94750°E,General,120,,
25,Apac General Hospital,3.2,Public Hospital,"Health,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Apac,","unknown,",01°58′42″N 32°32′01″E / 1.97833°N 32.53361°E,General,100,,https://www.apac.go.ug/apac-general-hospital
26,Atutur General Hospital,2.3,Public,"Health,","UNKNOWN,","Eastern,Kumi,Atutur,","unknown,",01°24′34″N 33°59′27″E / 1.40944°N 33.99083°E,General,100,,
27,Bududa General Hospital,,Public,"Health,","UNKNOWN,","Eastern,Bududa,","Insurance,",01°00′34″N 34°19′58″E / 1.00944°N 34.33278°E,General,100[1],,
28,Bugiri General Hospital,3.0,Public,"Inpatient,Outpatient,","8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,Closed,","Eastern,Bugiri,","Insurance,",00°34′25″N 33°44′33″E / 0.57361°N 33.74250°E,General,100,043 4251557,
29,Bukwo General Hospital,3.4,Public,"Health,","UNKNOWN,","Eastern,Bukwo,","Insurance,",01°17′39″N 34°45′19″E / 1.29417°N 34.75528°E,General,100,,
30,Bundibugyo General Hospital,4.3,Public,"General Care,","UNKNOWN,","Western,Bundibugyo,","Insurance,",00°42′11″N 30°03′49″E / 0.70306°N 30.06361°E,General,160,,
31,Busolwe General Hospital,4.0,Public,"Health,","UNKNOWN,","Butalejja,Busolwe,","Insurance,",00°50′58″N 33°55′45″E / 0.84944°N 33.92917°E,General,100,,
32,Iganga General Hospital,4.2,Public,"Health,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,8:00 AM - 5:00 PM,Open 24 hours,Open 24 hours,","Iganga,","Insurance,",00°36′57″N 33°29′04″E / 0.61583°N 33.48444°E,General,100,0757 947583,
33,Itojo Hospital,,Public,"Inpatient,Outpatient,Surgery,","UNKNOWN,","Western,Ntungamo,Itojo,","Insurance,",00°47′16″S 30°16′38″E / 0.78778°S 30.27722°E,General,120,,https://western-uganda.net/itojo_hospital.html
34,Kaabong General Hospital,,Public,"General Care,","UNKNOWN,","Karamoja,Kaabong,","Insurance,",03°30′39″N 34°07′53″E / 3.51083°N 34.13139°E,General,100,,
35,Kagadi General Hospital,4.4,Public,"Inpatient,Outpatient,HIV/AIDs,Antenetal, Ophthalmology,Tuberclosis,Neonatal,ICU,Maternity,Orthopedics,Physiotherapy,ICU,","UNKNOWN,","Western,Kigadi,","Insurance,",00°56′30″N 30°48′32″E / 0.94167°N 30.80889°E,General,100,,https://kagadi.go.ug/kagadi-general-hospital/
36,Kalisizo General Hospital,3.4,Public,"General Care,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Central,Rakai,Kalisizo,","Insurance,",00°32′08″S 31°37′22″E / 0.53556°S 31.62278°E,General,120[1],,
37,Kamuli General Hospital,4.1,Public,"Inpatient,Outpatient,Maternity,Surgery,HIV/AIDs,Family Planning,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Kamuli,Busoga,","Insurance,",00°56′50″N 33°07′16″E / 0.94722°N 33.12111°E,General,100,0751 355416,
38,Kapchorwa General Hospital,3.7,Public,"Health,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Entebbe,Kapchorwa,","Insurance,",01°23′55″N 34°26′50″E / 1.39861°N 34.44722°E,General,150,045 4451016,
39,Kasese Municipal Health Centre III,3.7,,"Health,ICU,Surgery,","UNKNOWN,","Unkown,","Insurance,",,,,,
40,Katakwi General Hospital,3.5,Public,"Inpatient,Outpatient,Maternity,Surgery,HIV/AIDs,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Eastern,Katakwi,","Insurance,",01°55′03″N 33°57′44″E / 1.91750°N 33.96222°E,General,100,,
41,Kawolo General Hospital,3.6,Public,"Health,Maternity,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Central,Buikwe,","Insurance,",00°22′05″N 32°56′44″E / 0.36806°N 32.94556°E,General,106,0708 285465,
42,Kiboga General Hospital,3.4,Public,"Health,ICU,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Buikwe,Kiboga,","Insurance,",00°54′43″N 31°46′35″E / 0.91194°N 31.77639°E,General,210,,
43,Kiryandongo General Hospital,3.8,Public,"Inpatient,Outpatient, Ophthalmology,X-ray,Orthopedics,HIV/AIDs,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Western,Kiryandongo,","Insurance,",01°52′46″N 32°03′43″E / 1.87944°N 32.06194°E,General,109,,
44,Kitagata General Hospital,3.8,Public,"Health,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Western,Sheema,Kitagata,","Insurance,",00°40′21″S 30°09′04″E / 0.67250°S 30.15111°E,General,100,0788 731342,
45,Kitgum Hospital,3.7,Public,"Health,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Northern,Kitgum,","Insurance,",03°17′39″N 32°52′52″E / 3.29417°N 32.88111°E,General,200,0782 331018,
46,Kyenjojo General Hospital,4.0,Public,"Health,","Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,","Western,Kololo,","Insurance,",00°37′01″N 30°38′15″E / 0.61694°N 30.63750°E,General,100,,
47,Lyantonde General Hospital,,Public,"Maternity,Outpatient,Surgery,Dentistry,","UNKNOWN,","Central,Lyantonde,","Insurance,",00°23′56″S 31°09′13″E / 0.39889°S 31.15361°E,General,100,,https://ayoma.co.ug/listing/lyantonde-general-hospital/
48,Masafu General Hospital,3.3,Public,"HIV/AIDs,","UNKNOWN,","Central,Busia,Masafu,","Insurance,",00°24′48″N 34°02′05″E / 0.41333°N 34.03472°E,General,100,,
49,Masindi General Hospital,4.0,Public,General Care,"Open 24 hours, Open 24 hours, Open 24 hours, Open 24 hours, Open 24 hours, Open 24 hours, Open 24 hours","Masindi, Western Region, Uganda",insurance,01°41′07″N 31°42′48″E / 1.68528°N 31.71333°E,General,0,,
50,CURE Children's Hospital of Uganda,4.5,Private,"surgery, Hydrocephalus, Spina bifida, Brain tumor, Neural tube","8:00AM - 6:00PM, 8:00AM - 6:00PM, 8:00AM - 6:00PM, 8:00AM - 6:00PM, 8:00AM - 6:00PM, Closed, Closed","Mbale, Kampala, Uganda",,01°04′27″N 34°10′18″E / 1.07417°N 34.17167°E,Community,0,454435273.0,https://cure.org/hospitals/uganda/
